model,MAE,RMSE,MAPE,R2
HistGradientBoosting,537.0535724815927,719.031953973073,1.029166171144496,0.9946632016458944
Random Forest,559.2787881601695,765.1908251792391,1.0730601516282408,0.9939560074556192
Ridge Regression,1282.2414196717773,1695.951791783346,2.477809157900979,0.9703099165750705
Naive 24h Baseline,4137.308450283666,6319.2555511714545,7.826714786271236,0.5877921586731298
